filename	churn	size	minor	major	total	ownership	defects
src/test/compile-fail/macro-incomplete-parse.rs	30	38	0	8	8	0.3076923076923077	0
src/vendor/libc/src/unix/notbsd/android/b64.rs	161	161	0	1	1	1.0	0
src/librustc_bitflags/lib.rs	61	500	0	9	9	0.3333333333333333	0
src/test/compile-fail/E0093.rs	29	19	0	3	3	0.5	0
src/test/run-pass/by-value-self-in-mut-slot.rs	8	31	0	4	4	0.25	0
src/test/compile-fail/borrowck/borrowck-uninit-in-assignop.rs	0	44	0	1	1	1.0	0
src/test/run-pass/extern-pass-TwoU64s.rs	6	30	0	3	3	0.3333333333333333	0
src/libstd/sys_common/memchr.rs	0	230	0	1	1	1.0	0
src/doc/book/type-aliases.md	8	78	0	4	4	0.25	0
src/librustc/traits/structural_impls.rs	950	604	3	4	7	0.3333333333333333	2
src/libcollections/linked_list.rs	2924	1409	14	4	18	0.36585365853658536	6
src/vendor/libc/ci/docker/i686-unknown-linux-gnu/Dockerfile	5	5	0	1	1	1.0	0
src/test/compile-fail/loop-break-value.rs	101	101	0	1	1	1.0	0
src/vendor/toml/tests/invalid/text-after-integer.toml	1	1	0	1	1	1.0	0
src/librustc_typeck/coherence/unsafety.rs	389	112	9	4	13	0.34615384615384615	0
src/test/compile-fail/issue-31804.rs	22	16	0	3	3	0.6	0
src/doc/nomicon/vec.md	6	20	0	3	3	0.3333333333333333	0
src/test/compile-fail/gated-non-ascii-idents.rs	6	43	0	3	3	0.3333333333333333	0
src/test/compile-fail/regions-static-bound.rs	4	24	0	2	2	0.5	0
src/test/run-pass/attr-before-view-item.rs	4	19	0	2	2	0.5	0
src/test/run-pass/macro-follow.rs	202	191	0	4	4	0.25	0
src/test/compile-fail/issue-28568.rs	28	24	0	5	5	0.375	0
src/test/debuginfo/extern-c-fn.rs	12	70	0	4	4	0.25	0
src/test/rustdoc/auxiliary/issue-22025.rs	0	20	0	1	1	1.0	0
src/test/compile-fail/issue-35044.rs	46	46	0	1	1	1.0	0
src/test/compile-fail-fulldeps/proc-macro/export-macro.rs	19	19	0	1	1	1.0	0
src/test/compile-fail/borrowck/borrowck-assign-comp.rs	0	46	0	1	1	1.0	0
